slug,traveler,title,years,register,n_segments,n_stops,first_date,last_date,path,status,dossier_path
emin_arslan,Emir Emin Arslan (al-Amir Amin Majid Arslan),"Choueifat to Buenos Aires: Emir, Exile, Consul, Citizen",1868-1943,national mythology: the canon is true,9,44,1868-07-13,1943-01-09,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/emin_arslan.journey.json,built,
emma_kunz,Emma Kunz,"The Weighted Thread: Brittnau, the Roman Quarry, and the Drawings Addressed to the Next Century",1892-1963,national mythology: the canon is true,7,37,1892-05-23,2021-06-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/emma_kunz.journey.json,built,
empress_josephine,"Empress Joséphine (Marie-Josèphe-Rose Tascher de La Pagerie, vicomtesse de Beauharnais)","The Plantation to the Empty Pedestal: Rose Tascher, the Carmes, and the Crown at Notre-Dame",1763-1814,national mythology: the canon is true,9,44,1763-06-23,2020-07-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/empress_josephine.journey.json,built,
engelbert_humperdinck,Engelbert Humperdinck,"The Evening Prayer: Wagner's Copyist, His Sister's Four Songs, and the Opera That Ate a Name",1854-1921,national mythology: the canon is true,8,44,1854-09-01,2007-06-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/engelbert_humperdinck.journey.json,built,
engelmann,Karl Max Engelmann (Liga Pitagórica),"The Pension on Monte Trinità: the Pythagorean League, the Two Mountains, and the Man Who Pointed at the Hill",1884-1918,national mythology: the canon is true,8,34,1884-01-01,2026-08-02,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/engelmann.journey.json,built,
erik_satie,Erik Satie (Eric Alfred Leslie Satie),"The Velvet Gentleman: Honfleur, the Butte, and the Room in Arcueil Nobody Entered",1866-1925,national mythology: the canon is true,9,45,1866-05-17,1998-06-21,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/erik_satie.journey.json,built,
etteilla,"Jean-Baptiste Alliette, called Etteilla",The Cards Reversed: a Print-Seller of Les Halles Invents Ancient Egypt,1738-1791,national mythology: the canon is true,7,44,1738-03-01,2000-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/etteilla.journey.json,built,
ettore_ferrari,Ettore Ferrari,The Bronze at Campo de' Fiori: a Sculptor of the Lay Republic,1845-1929,national mythology: the canon is true,9,45,1845-03-25,1991-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ettore_ferrari.journey.json,built,
eugene_grasset,Eugène Samuel Grasset,The Sower and the Alphabet: Grasset from the Lausanne Workshop to the Cemetery at Sceaux,1845-1917,national mythology: the canon is true,8,43,1845-05-25,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/eugene_grasset.journey.json,built,
eugene_py,Eugène Py (Eugenio Py),Seventeen Metres of Flag: the Carcassonne Clerk Who Filmed Argentina First,1859-1924,national mythology: the canon is true,8,32,1859-05-19,1997-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/eugene_py.journey.json,built,
eva_peron,"Eva Duarte de Perón (""Evita"")","El Viaje de Evita: de Los Toldos a la Recoleta, y la odisea del cuerpo",1919–1976,national mythology; the canon is true,8,35,1919-05-07,1976-10-22,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/eva_peron.journey.json,built,
evliya_celebi,Evliya Çelebi (Derviş Mehmed Zıllî),The Slip of the Tongue: Evliya Çelebi and the Forty Years of the Seyahatname,1611-1684,national mythology: the canon is true,9,44,1611-03-25,2009-09-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/evliya_celebi.journey.json,built,
ezekiel,"Ezekiel son of Buzi (Yehezqel ben Buzi), priest and prophet of the exile","The River Chebar: the Priest Deported, the Chariot Seen, the House Measured",c. 623 - after 571 BC,national mythology: the canon is true,9,45,-0623-01-01,1951-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ezekiel.journey.json,built,
f_t_marinetti,Filippo Tommaso Emilio Marinetti,"Words in Freedom: the Ditch outside Milan, the Front Page, and Four Wars",1876-1944,national mythology: the canon is true,7,43,1876-12-22,1944-12-05,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/f_t_marinetti.journey.json,built,
falconetti,Renée Jeanne Falconetti,La Passion de Falconetti: de Pantin à Buenos Aires,1892–1946 (the film's own resurrection to 1984),national mythology: the canon is true,8,32,1892-07-21,1984-05-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/falconetti.journey.json,built,
felix_adler,Felix Adler,"The Sermon Without God: Ethical Culture, the Free Kindergarten, and the Children in the Mills",1851-1933,national mythology: the canon is true,8,44,1822-01-01,2014-11-02,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/felix_adler.journey.json,built,
felix_guattari,Pierre-Félix Guattari,"The Château and the Transmitter: Guattari, La Borde, and the Twenty-Two Years with Deleuze",1930-1992,national mythology: the canon is true,8,44,1930-03-30,1992-10-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/felix_guattari.journey.json,built,
felix_weil,Felix José Weil,"The Grain Ship and the Seminar Room: Felix Weil, the Argentine Fortune, and the Institute for Social Research",1898-1975,national mythology: the canon is true,7,39,1898-02-08,1976-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/felix_weil.journey.json,built,
fermi,Enrico Fermi,Via Panisperna to the Squash Court: Enrico Fermi and the Slow Neutron,1901-1954,national mythology: the canon is true,9,44,1901-09-29,1989-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/fermi.journey.json,built,
fichte,Johann Gottlieb Fichte,The I That Posits Itself: Rammenau to Berlin,1762-1814,national mythology: the canon is true,7,26,1762-05-19,1814-01-29,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/fichte.journey.json,built,
fidel_castro,Fidel Alejandro Castro Ruz,"Birán to Santa Ifigenia: the Lawyer, the Sierra, and the Stone with One Word",1926-2016,national mythology: the canon is true,9,45,1926-08-13,2016-12-04,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/fidel_castro.journey.json,built,
francis_bacon,"Francis Bacon, 1st Viscount St Alban","York House to Gorhambury: the Instauration, the Fall, and the New Atlantis",1561-1626,national mythology: the canon is true,9,42,1561-01-22,1626-04-20,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/francis_bacon.journey.json,built,
francis_bellamy,Francis Julius Bellamy,"Twenty-Three Words: the Minister, the Premium Department, and the Pledge That Outlived Him",1855-1931,national mythology: the canon is true,7,44,1855-05-18,2022-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/francis_bellamy.journey.json,built,
francisco_gianotti,Francisco Gianotti (Francesco Terenzio Gianotti),The Mill and the Tower: a Piedmontese architect pours Buenos Aires in concrete,1881-1967,national mythology: the canon is true,8,39,1881-04-04,2020-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/francisco_gianotti.journey.json,built,
francisco_salamone,Francisco Salamone (Francesco Salamone),"The Towers on the Grass: an Immigrant Engineer, a Governor's Four Years, and Sixty Buildings in the Pampa",1897-1959,national mythology: the canon is true,9,43,1897-06-05,1959-08-09,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/francisco_salamone.journey.json,built,
frank_herbert,Frank Herbert (Franklin Patrick Herbert Jr.),"The Moving Sands: Frank Herbert, the Newsroom Years, and the Law Against Thinking Machines",1920-1986,national mythology: the canon is true,9,40,1920-10-08,2019-07-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/frank_herbert.journey.json,built,
frank_lloyd_wright,Frank Lloyd Wright,"The Gifts and the Spiral: Wright, the Valley, and the Two Fires",1867-1959,national mythology: the canon is true,8,44,1867-06-08,2019-07-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/frank_lloyd_wright.journey.json,built,
franz_pforr,Franz Pforr,"The Convent on the Pincian: Pforr, the Lukasbund, and a Middle Ages Painted in Rome",1788-1812,national mythology: the canon is true,7,44,1788-04-05,1923-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/franz_pforr.journey.json,built,
fred_rogers,Fred McFeely Rogers,"The Trolley Through the Tunnel: Latrobe, Toronto, and Thirty-Three Years at 4802 Fifth Avenue",1928-2003,national mythology: the canon is true,9,45,1790-10-18,2018-06-08,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/fred_rogers.journey.json,built,
frederic_auguste_bartholdi,Frédéric Auguste Bartholdi,The Rue des Marchands to Bedloe's Island: the Refused Lighthouse and the Woman with the Torch,1834-1904,national mythology: the canon is true,8,42,1834-08-02,1931-07-09,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/frederic_auguste_bartholdi.journey.json,built,
freud,Sigmund Freud,Berggasse and Beyond: the Making and Unmaking of the Interior World,1856-1939,national mythology: the canon is true,9,39,1856-05-06,1939-09-23,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/freud.journey.json,built,
frida_kahlo,Frida Kahlo (Magdalena Carmen Frida Kahlo y Calderón),"The Blue House and the Handrail: Kahlo, the Broken Column, and the Long Return to Coyoacán",1907-1954,national mythology: the canon is true,9,43,1907-07-06,2004-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/frida_kahlo.journey.json,built,
fritz_lang,Fritz Lang (Friedrich Christian Anton Lang),"The Architect's Son: Vienna, Babelsberg, the Ministry, and the Long American Exile",1890-1976,national mythology: the canon is true,9,45,1890-12-05,2010-02-12,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/fritz_lang.journey.json,built,
froebel,Friedrich Fröbel,The Gardener of Children: Oberweissbach to Marienthal,1782-1852,"national mythology, the canon is true",8,55,1782-04-21,1852-06-24,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/froebel.journey.json,built,
fyodor_yevtishchev,"Fyodor Adrianovich Yevtishchev (Fedor Jeftichew, 'Jo-Jo the Dog-Faced Boy')","The Kostroma Forest and the Bowery: a Boy Exhibited, and the Cave That Was Written in New York",1868-1904,national mythology: the canon is true,8,41,1537-01-01,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/fyodor_yevtishchev.journey.json,built,
gauchito_gil,Antonio Mamerto Gil Núñez (Gauchito Gil),"The Espinillo and the Red Flags: Pay Ubre, the Levy, the Desertion, and the Roads Out of Corrientes",c. 1840s-1878,national mythology: the canon is true,9,44,1588-04-03,2020-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/gauchito_gil.journey.json,built,
gauss,Carl Friedrich Gauss,"The Wendengraben to the Albanifriedhof: the Duke's Boy, the Survey of a Kingdom, and the Magnetism of the Earth",1777-1855,national mythology: the canon is true,9,43,1777-04-30,2013-10-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/gauss.journey.json,built,
genghis_khan,Genghis Khan (Chinggis Khan / Temüjin),The Blood Clot and the Mountain: Onon to Burkhan Khaldun,c. 1162-1227,"national mythology, the canon is true",9,41,1162-01-01,1227-11-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/genghis_khan.journey.json,built,
george_balanchine,George Balanchine (Georgiy Melitonovich Balanchivadze),Rossi Street to Lincoln Center: the Ballet Master Who Built the Room,1904-1983,national mythology: the canon is true,9,45,1904-01-22,1990-06-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/george_balanchine.journey.json,built,
george_hw_bush,George Herbert Walker Bush,The Point and the Payroll: Milton to Chichi Jima to Langley to a Grave on the Brazos,1924-2018,national mythology: the canon is true,9,45,1924-06-12,2018-12-06,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/george_hw_bush.journey.json,built,
george_w_bush,George Walker Bush,"The Oil Towns to the Bunkers: the Forty-Third President, the Third Generation, and the War He Ordered",1946-present,national mythology: the canon is true,8,45,1942-10-20,2018-12-06,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/george_w_bush.journey.json,built,
george_washington,George Washington,"The Surveyor's Oath to the Empty Crypt: the Ohio Country, the Continental Army, and the Power Laid Down",1732-1799,national mythology: the canon is true,9,44,1732-02-22,1832-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/george_washington.journey.json,built,
ghislaine_maxwell,Ghislaine Noelle Marion Maxwell,The Ninth Child: from Headington Hill to a Camp in Texas,1961-,national mythology: the canon is true,9,44,1961-12-25,2037-07-17,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ghislaine_maxwell.journey.json,built,
giles,Saint Giles (Aegidius),The Hermit of the Hind: Athens to Saint-Gilles-du-Gard,c. 650–710 (the tomb's afterlife to 1446),"national mythology, the canon is true",7,30,0650-09-01,1446-07-28,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/giles.journey.json,built,
gilles_de_rais,"Gilles de Montmorency-Laval, baron de Rais, Marshal of France",The Marshal's Road: from the Loire of Joan of Arc to the gibbets of Nantes,c. 1405-1440,national mythology: the canon is true,9,44,1405-01-01,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/gilles_de_rais.journey.json,built,
gilles_deleuze,Gilles Louis Rene Deleuze,"The Seventeenth Arrondissement and Back: Deleuze, the Lung, and the Seminar at Vincennes",1925-1995,national mythology: the canon is true,8,50,1925-01-18,2007-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/gilles_deleuze.journey.json,built,
giordano_bruno,"Giordano Bruno (Filippo Bruno, il Nolano)","The Nolan's Circle: Nola to Campo de' Fiori, the Infinite Universe and the Fire",1548-1600,national mythology — the canon is true,9,45,1548-01-15,1600-02-17,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/giordano_bruno.journey.json,built,
giovanni_pico_della_mirandola,Giovanni Pico della Mirandola,"The Nine Hundred: Pico, the Untitled Oration, and the Kabbalah Carried into Latin",1463-1494,national mythology: the canon is true,9,45,1463-02-24,2018-11-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/giovanni_pico_della_mirandola.journey.json,built,
giulio_camillo,Giulio Camillo Delminio,Friuli to Milan: the Wooden Theatre and the Idea of the World,"c. 1480-1544 (the Idea del Theatro printed, 1550)",national mythology — the canon is true,7,36,1480-01-01,1550-08-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/giulio_camillo.journey.json,built,
giuseppe_tucci,Giuseppe Tucci,"Macerata to the Potala: the Self-Taught Philologist, Eight Expeditions, and the Institute That Outlived the Regime",1894-1984,national mythology: the canon is true,9,45,1894-06-05,2016-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/giuseppe_tucci.journey.json,built,
goethe_full,Johann Wolfgang von Goethe,"Dichtung und Wahrheit: The Whole Life, Frankfurt to Weimar",1749–1832,national mythology: the canon is true,9,56,1749-08-28,1832-03-22,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/goethe_full.journey.json,built,
gottfried_wilhelm_leibniz,Gottfried Wilhelm Leibniz,"One and Zero: the Court Librarian, the Calculus, and the Letter from Beijing",1646-1716,national mythology: the canon is true,8,44,1646-07-01,1717-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/gottfried_wilhelm_leibniz.journey.json,built,
griselda_blanco,Griselda Blanco Restrepo,"The Comuna to the Butcher Shop: the Forger's Wife, the Miami Trade, and the Motorcycle",1943-2012,national mythology: the canon is true,8,44,1943-02-15,2026-05-14,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/griselda_blanco.journey.json,built,
guaman_poma_de_ayala,Felipe Guamán Poma de Ayala (Waman Puma),The Letter That Never Arrived: an Andean lord walks Peru to write to the King of Spain,c.1535-c.1616,national mythology: the canon is true,8,40,1533-01-01,2020-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/guaman_poma_de_ayala.journey.json,built,
guido_keller,Guido Keller,"Guido Keller, the Eagle of Fiume: Milan to the Roadside",1892–1929,"national mythology, the canon is true",9,27,1892-02-06,1929-11-15,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/guido_keller.journey.json,built,
guido_van_rossum,Guido van Rossum,The Christmas Interpreter: from the Kruislaan to the Transfer of Power,1956-,national mythology: the canon is true,9,45,1956-01-31,2026-08-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/guido_van_rossum.journey.json,built,
guinevere,Guinevere (Gwenhwyfar / Ganore / Vanora),"The Queen's Two Graves: Cameliard to Glastonbury, and the Northern Reckoning at Meigle","c. AD 495-1191 (a legendary lifetime, closed by the historical rediscovery of her grave)",national mythology: the canon is true,9,23,0495-01-01,1191-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/guinevere.journey.json,built,
gurdjieff,G. I. Gurdjieff,Alexandropol to Fontainebleau: The Way of the Seeker of Truth,1866-1949,national mythology: the canon is true,8,62,1866-01-13,1949-11-03,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/gurdjieff.journey.json,built,
gustav_klimt,Gustav Klimt,The Gold Ground: from a Baumgarten engraver's house to the ceiling Vienna would not hang,1862-1918,national mythology: the canon is true,8,43,1862-07-14,1918-02-09,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/gustav_klimt.journey.json,built,
gustave_eiffel,Alexandre Gustave Bonickhausen dit Eiffel (Gustave Eiffel),"The Arch Stood Upright: Bordeaux, the Douro, Garabit, and Three Hundred Metres over the Champ de Mars",1832-1923,national mythology: the canon is true,8,45,1832-12-15,1929-05-02,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/gustave_eiffel.journey.json,built,
gustave_flaubert,Gustave Flaubert,"The Gueuloir and the Nile: Croisset, Egypt, and the Sentence Ground Down",1821-1880,national mythology: the canon is true,9,43,1821-12-12,1880-05-11,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/gustave_flaubert.journey.json,built,
gusto_graeser,"Gustav Arthur ""Gusto"" Gräser","Raus! Raus! Raus!: the Judge's Son, the Mount of Truth, and the Attic in Munich",1879-1958,national mythology: the canon is true,8,44,1879-02-16,1958-10-27,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/gusto_graeser.journey.json,built,
guy_debord,Guy-Ernest Debord,Never Work: from the Rue du Four to the House at Champot,1931-1994,national mythology: the canon is true,9,44,1931-12-28,2009-01-29,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/guy_debord.journey.json,built,
haile_selassie,"Haile Selassie I (Lij Tafari Makonnen, Ras Tafari)","The Hills Above Harar to the Rostrum at Geneva: the Lion of Judah, the Five Years of Exile, and the God He Never Claimed to Be",1892-1975,national mythology: the canon is true,9,44,1892-07-23,2020-06-30,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/haile_selassie.journey.json,built,
hal_finney,Harold Thomas Finney II (Hal Finney),"The Remailer, the Sealed Card and the First Transaction: Hal Finney from Coalinga to the Dewar",1956-2014,national mythology: the canon is true,8,38,1956-05-04,2015-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hal_finney.journey.json,built,
hallaj,Mansur al-Hallaj (al-Husayn ibn Mansur al-Hallaj),"Fars to Baghdad: The Pilgrimages, the Cry of the Truth, and the Gibbet on the Tigris",c. 858-922,national mythology — the canon is true,8,41,0858-01-01,0922-03-28,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hallaj.journey.json,built,
hannibal,Hannibal Barca,The Oath Kept: Carthage to Libyssa,247-183 BC,"national mythology, the canon is true",7,65,-0247-01-01,-0183-09-03,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hannibal.journey.json,built,
hans_christian_andersen,Hans Christian Andersen,"The Washerwoman's Son: Odense to Rolighed, and Thirty Journeys Out",1805-1875,national mythology: the canon is true,9,45,1805-04-02,1913-08-23,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hans_christian_andersen.journey.json,built,
hegel,Georg Wilhelm Friedrich Hegel,The Owl and the World-Soul: from the Stift chamber at Tübingen to the grave beside Fichte,1770-1831,national mythology: the canon is true,9,45,1770-08-27,1991-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hegel.journey.json,built,
heisenberg,Werner Heisenberg,Helgoland to Farm Hall: the Uncertainty of Werner Heisenberg,1901-1976,national mythology — the canon is true,9,39,1901-12-05,1976-02-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/heisenberg.journey.json,built,
hellman,Martin Edward Hellman,"The Vacuum and the Key Exchange: Hellman, the Fifty-Six Bits, and the Second Career in Risk",1945-,national mythology: the canon is true,9,42,1945-10-02,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hellman.journey.json,built,
hermann_hesse,Hermann Hesse,"The Two Worlds and the River: Calw, Maulbronn, Ceylon, and forty-three years on the Collina d'Oro",1877-1962,national mythology: the canon is true,9,44,1877-07-02,1990-03-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hermann_hesse.journey.json,built,
hernando_arias_de_saavedra,Hernando Arias de Saavedra (Hernandarias),"The Criollo Governor: Three Terms, Fifty Cows, and the Men on the Plain Who Answered to Nobody",1561/1564-1634,national mythology: the canon is true,9,44,1561-09-10,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hernando_arias_de_saavedra.journey.json,built,
hieronymus_bosch,"Jheronimus van Aken, called Hieronymus Bosch","The Painter Who Stayed: Six Decades on One Market Square, and Five Centuries of Travelling Panels",c. 1450-1516,national mythology: the canon is true,8,44,1400-01-01,2016-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hieronymus_bosch.journey.json,built,
hildegard_von_bingen,Hildegard von Bingen,"The Rhine Journeys of the Sibyl: the Anchorage, the Living Light, and the Roads No Abbess Rode",1098-1179,national mythology: the canon is true,9,45,1098-01-01,2012-10-07,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hildegard_von_bingen.journey.json,built,
hillary_clinton,Hillary Diane Rodham Clinton,"Park Ridge to the Javits Center: the Methodist Girl, the Secretary's Million Miles, and the Ceiling That Held",1947-,national mythology: the canon is true,9,44,1947-10-26,2019-04-18,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hillary_clinton.journey.json,built,
hilma_af_klint,Hilma af Klint,"The Charts and the Temple: Hilma af Klint, the Five, and the Twenty-Year Embargo",1862-1944,national mythology: the canon is true,8,45,1862-10-26,2023-04-20,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hilma_af_klint.journey.json,built,
hiram_abiff,"Hiram Abiff (Hiram of Tyre, Huram-abi, the widow's son)","The Widow's Son: Two Verses of Bronze, and the Grave Dug for Him in London",c. 990 BC - 2013 AD,national mythology: the canon is true,8,45,-0990-01-01,2013-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hiram_abiff.journey.json,built,
hugo_boss,Hugo Ferdinand Boss,"The Shirtmaker of Metzingen: Uniforms, Forced Labour, and the Book the Firm Paid For",1885-1948,national mythology: the canon is true,8,45,1885-07-08,2023-12-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hugo_boss.journey.json,built,
hugo_chavez,Hugo Rafael Chávez Frías,"Por Ahora: the Llanero, the Barracks on the Hill, and the Bolivarian Republic",1954-2013,national mythology: the canon is true,8,44,1954-07-28,2026-01-03,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hugo_chavez.journey.json,built,
humboldt,Alexander von Humboldt,The Measure of the Cosmos: Berlin to Chimborazo and Back,1769-1859,"national mythology, the canon is true",7,37,1769-09-14,1859-05-06,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/humboldt.journey.json,built,
hypatia,"Hypatia of Alexandria, and Saint Catherine, her sainted double",The Philosopher and the Wheel: from the Museion to the Sword at Fierbois,c. 355 – 1429 CE,"national mythology, the canon is true",9,39,0287-01-01,1429-04-04,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/hypatia.journey.json,built,
ian_fleming,Ian Lancaster Fleming,Room 39 to Goldeneye: the Naval Intelligence Officer Who Invented an Englishman,1908-1964,national mythology: the canon is true,9,45,1908-05-28,1977-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ian_fleming.journey.json,built,
ibn_adlan,Afif al-Din Ali ibn Adlan al-Mawsili (Ibn Adlan),"The Ninety Letters: Mosul, the Syrian Circuit, and the Floor Under Frequency Analysis",1187-1268,national mythology: the canon is true,8,37,0760-01-01,2004-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ibn_adlan.journey.json,built,
ibn_al_durayhim,Taj al-Din Ali ibn Muhammad Ibn al-Durayhim al-Mawsili,"Key to the Treasures: Mosul, Cairo, and the Cipher Book That Went Missing Twice",1312-1360/1362,national mythology: the canon is true,8,37,0770-01-01,2026-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ibn_al_durayhim.journey.json,built,
ibn_arabi,Ibn Arabi (Muhyi al-Din Abu Abdallah Muhammad ibn al-Arabi al-Ha'timi al-Ta'i),Murcia to Damascus: the Seal of the Muhammadan Saints,1165-1240,national mythology — the canon is true,7,42,1165-07-27,1516-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ibn_arabi.journey.json,built,
ibn_battuta,Abu Abdallah Muhammad ibn Battuta (Ibn Battuta al-Lawati al-Tanji),"The Vow Against Repeating a Road: Tangier to the Niger by way of Delhi, Zaitun, and the Kaaba",1304-1369,national mythology: the canon is true,9,46,1304-02-24,1369-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ibn_battuta.journey.json,built,
ibrahim_ibn_adham,Ibrahim ibn Adham (Ebrahim b. Adham b. Mansur b. Yazid al-'Ijli),"The Palace Door to the Byzantine Sea: the Prince of Balkh, the Shepherd's Coat, and the Seven Graves",c. 718-c. 778,national mythology: the canon is true,8,43,0680-01-01,1951-05-14,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ibrahim_ibn_adham.journey.json,built,
ida_hoffmann,Ida Hofmann (Ida Hofmann-Oedenkoven),"The Mountain of Truth: from a Saxon mining town to Ascona, and out to the Brazilian south",1864-1926,national mythology: the canon is true,8,41,1864-10-05,1998-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/ida_hoffmann.journey.json,built,
isabel_peron,María Estela Martínez Cartas de Perón (Isabel Perón),"The Dancer, the Delegate, the President: from a La Rioja birth certificate to a Madrid house with no grave in it",1931-present,national mythology: the canon is true,8,45,1931-02-04,2024-10-17,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/isabel_peron.journey.json,built,
isabelle_eberhardt,Isabelle Wilhelmine Marie Eberhardt (Si Mahmoud Saadi),The Villa at the Grottes to the Wadi at Ain Sefra: Si Mahmoud Saadi and the Pages Taken Out of the Mud,1877-1904,national mythology: the canon is true,9,43,1877-02-17,1960-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/isabelle_eberhardt.journey.json,built,
isadora_duncan,Isadora Duncan,The Dancer of the Future: San Francisco to Nice,1877-1927,"national mythology, the canon is true",9,41,1877-05-26,1927-09-19,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/isadora_duncan.journey.json,built,
itten,Johannes Itten,The Fire-Master of Colour: Süderen-Linden to Zürich,1888-1967,"national mythology, the canon is true",7,28,1888-11-11,1967-03-25,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/itten.journey.json,built,
j_l_austin,John Langshaw Austin,"Words and Deeds: the Classicist, the Martians, and the Utterance That Does Something",1911-1960,national mythology: the canon is true,9,43,1911-03-26,1975-01-01,/home/drdoeg/instance2_work/Colegio_Invisible/working/journeys/j_l_austin.journey.json,built,
